genres,popularidad_promedio,calificacion_promedio,cantidad_peliculas,ingreso_promedio
Adventure,35.77024593967518,6.4560968677494195,1724,265336990.1540656
Science Fiction,34.82709419263456,6.117027620396601,1412,253240840.5418848
Action,32.523973143759875,6.215119747235387,3165,176267556.16164657
Animation,29.03769491525424,6.939563233376793,1534,232976091.6759582
Family,28.637799438990182,6.682830294530154,1426,209963084.53608248
Fantasy,25.33552769886364,6.484711647727273,1408,201035122.3918575
Thriller,24.802259868421054,6.037734374999999,3648,74890645.00851971
War,22.427163855421686,6.632636144578313,415,84257030.09302326
Horror,21.98055492835432,5.72486191923578,2303,54910551.78401728
Crime,21.8277832250443,6.346942114589486,1693,70401376.74051896
Comedy,19.713630916990624,6.296161902584039,4373,101471789.12216406
Romance,19.621433938893475,6.323662262592898,2422,63486074.27685951
Mystery,17.65458701082431,6.219641132389675,1201,62531058.61754386
Drama,17.00566109930155,6.4631377163680535,6586,54267692.4488568
Western,16.976524193548386,6.185862903225806,124,77344521.70588236
History,16.209742024965326,6.771319001386963,721,58278916.708
Music,15.314840611353713,6.958117903930131,458,88150160.96190476
Documentary,11.583903307888042,7.102306615776081,786,18935988.23529412
TV Movie,10.456059294871794,6.2618926282051275,624,5182979.6
